ID,LABNR,C14AGE,C14STD,C13,MATERIAL,SPECIES,COUNTRY,SITE,PERIOD,CULTURE,PHASE,LOCUS,LATITUDE,LONGITUDE,METHOD,CALAGE,CALSTD,REFERENCE,NOTICE
33,SMU-1132,7330,387,0,nd,nd,Algeria,Aioun Berriche,Epipalaeolithic,Capsien superieur,nd,nd,0,0,14C,6250,390,Gehlen 2010,
34,SMU-1135,7780,247,0,nd,nd,Algeria,Aioun Berriche,Epipalaeolithic,Capsien superieur,nd,nd,0,0,14C,6720,290,Gehlen 2010,
35,Gif-4058,8260,180,0,nd,nd,Algeria,Bir Oum Ali 2,Epipalaeolithic,Capsien superieur,nd,nd,0,0,14C,7250,220,Gehlen 2010,
36,Gif-308,6850,300,0,nd,nd,Algeria,Columnata,Epipalaeolithic,Capsien superieur,nd,Depth 160-200,0,0,14C,5770,270,Gehlen 2010,
37,Gif-309,6430,300,0,nd,nd,Algeria,Columnata,Epipalaeolithic,Capsien superieur,nd,Depth 200-230,0,0,14C,5310,310,Gehlen 2010,
38,Mc-154,6800,150,0,nd,nd,Algeria,Columnata,Epipalaeolithic,Capsien superieur,nd,Depth 130-160,0,0,14C,5720,140,Gehlen 2010,
39,Mc-625,7070,120,0,nd,nd,Algeria,Dra Mta el Ma el Abiod,Epipalaeolithic,Capsien superieur,nd,L3,0,0,14C,5930,120,Gehlen 2010,
40,Mc-626,7070,120,0,nd,nd,Algeria,Dra Mta el Ma el Abiod,Epipalaeolithic,Capsien superieur,nd,O4,0,0,14C,5930,120,Gehlen 2010,
41,Mc-627,7000,200,0,nd,nd,Algeria,Dra Mta el Ma el Abiod,Epipalaeolithic,Capsien superieur,nd,O5,0,0,14C,5890,180,Gehlen 2010,
42,Mc-628,7280,120,0,nd,nd,Algeria,Dra Mta el Ma el Abiod,Epipalaeolithic,Capsien superieur,nd,Q6,0,0,14C,6170,120,Gehlen 2010,
43,Mc-629,7090,110,0,nd,nd,Algeria,Dra Mta el Ma el Abiod,Epipalaeolithic,Capsien superieur,nd,Q4,0,0,14C,5950,110,Gehlen 2010,
44,UW-390,7510,110,0,nd,nd,Algeria,El Hassi,Epipalaeolithic,Capsien superieur,nd,nd,0,0,14C,6350,100,Gehlen 2010,
45,Mc-285,8410,130,0,nd,nd,Algeria,El Mermouta,Epipalaeolithic,Capsien superieur,nd,nd,0,0,14C,7410,140,Gehlen 2010,
46,Gif-1590,7850,170,0,nd,nd,Algeria,El Outed C,Epipalaeolithic,Capsien typique,Depth 90-100,shell midden,0,0,14C,6770,220,Gehlen 2010,
47,Gif-1591,7850,170,0,nd,nd,Algeria,El Outed C,Epipalaeolithic,Capsien typique,Depth 40-50,shell midden,0,0,14C,6770,220,Gehlen 2010,
48,Gif-1592,7400,170,0,nd,nd,Algeria,El Outed C,Epipalaeolithic,Capsien typique,Depth 50-60,shell midden,0,0,14C,6250,160,Gehlen 2010,
49,Gif-1593,6700,150,0,nd,nd,Algeria,El Outed C,Epipalaeolithic,Capsien typique,"Depth 30, intermediate Phase",shell midden,0,0,14C,5630,120,Gehlen 2010,
50,I-9838,6575,170,0,nd,nd,Algeria,Kef Zourah D,Epipalaeolithic,Capsien superieur,nd,nd,0,0,14C,5500,150,Gehlen 2010,
51,SMU-1108,9100,130,0,nd,nd,Algeria,Kef Zourah D,Epipalaeolithic,Capsien typique,nd,Abri,0,0,14C,8300,200,Gehlen 2010,
52,SMU-1121,8390,170,0,nd,nd,Algeria,Kef Zourah D,Epipalaeolithic,Capsien typique,nd,Abri,0,0,14C,7380,190,Gehlen 2010,
53,SMU-704,8578,148,0,nd,nd,Algeria,Kef Zourah D,Epipalaeolithic,Capsien typique,nd,Abri,0,0,14C,7690,190,Gehlen 2010,
54,SMU-712,9390,130,0,nd,nd,Algeria,Kef Zourah D,Epipalaeolithic,Capsien typique,nd,Abri,0,0,14C,8730,240,Gehlen 2010,
55,Mc-206,8050,150,0,nd,nd,Algeria,Koudiat Kifen Lahda,Epipalaeolithic,Capsien superieur,nd,nd,0,0,14C,6990,230,Gehlen 2010,
56,Gif-1454,6600,400,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 300-325,shell midden,0,0,14C,5480,410,Gehlen 2010,
57,Gif-1455,7200,300,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 325-350,shell midden,0,0,14C,6080,280,Gehlen 2010,
58,Gif-462?,6620,300,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 90,shell midden,0,0,14C,5520,290,Gehlen 2010,
59,Gif-462?,6620,300,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 25-75,shell midden,0,0,14C,5520,290,Gehlen 2010,
60,Gif-886,7900,180,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 100,shell midden,0,0,14C,6820,220,Gehlen 2010,
61,Gif-887,8270,185,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 100-130,shell midden,0,0,14C,7260,220,Gehlen 2010,
62,Gif-889,8480,300,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 230-320,shell midden,0,0,14C,7540,400,Gehlen 2010,
63,Mc-151,6500,150,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 25-75,shell midden,0,0,14C,5440,130,Gehlen 2010,
64,Mc-214,7200,120,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 180-190,shell midden,0,0,14C,6080,120,Gehlen 2010,
65,Mc-313,7860,120,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 100,shell midden,0,0,14C,6780,180,Gehlen 2010,
66,Mc-318,7030,120,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 100-125,shell midden,0,0,14C,5900,110,Gehlen 2010,
67,Mc-319,7570,160,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 125-150,shell midden,0,0,14C,6420,160,Gehlen 2010,
68,Mc-320,8230,120,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 150-175,shell midden,0,0,14C,7260,160,Gehlen 2010,
69,Mc-321,7280,140,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 175-200,shell midden,0,0,14C,6170,140,Gehlen 2010,
70,Mc-322,7610,140,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 200-225,shell midden,0,0,14C,6460,140,Gehlen 2010,
71,Mc-323,7280,120,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 225-250,shell midden,0,0,14C,6170,120,Gehlen 2010,
72,Mc-325,7860,130,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 275-300,shell midden,0,0,14C,6780,190,Gehlen 2010,
73,Mc-326,8550,150,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 300-325,shell midden,0,0,14C,7640,190,Gehlen 2010,
74,Mc-327,8860,150,0,nd,nd,Algeria,Medjez II,Epipalaeolithic,Capsien superieur,Depth 325-350,shell midden,0,0,14C,7970,220,Gehlen 2010,
75,Mc-281,7930,200,0,nd,nd,Algeria,Rabah,Epipalaeolithic,Capsien superieur,nd,Niveau 3,0,0,14C,6870,250,Gehlen 2010,
76,Mc-283,9180,120,0,nd,nd,Algeria,Rabah,Epipalaeolithic,Capsien superieur,nd,Niveau 1 ,0,0,14C,8430,130,Gehlen 2010,
77,Gif-306,7450,300,0,nd,nd,Algeria,Rafana,Epipalaeolithic,Capsien superieur,nd,nd,0,0,14C,6350,310,Gehlen 2010,
78,Gif-1714,7760,180,0,nd,nd,Algeria,Relilai,Epipalaeolithic,Capsien typique,Phase IV,shell midden,0,0,14C,6700,230,Gehlen 2010,
79,Gif-1715,8180,180,0,nd,nd,Algeria,Relilai,Epipalaeolithic,Capsien typique,Phase IV,shell midden,0,0,14C,7140,260,Gehlen 2010,
80,Gif-1896,7850,150,0,nd,nd,Algeria,Relilai,Epipalaeolithic,Capsien typique,Phase IV,shell midden,0,0,14C,6770,200,Gehlen 2010,
81,Gif-1897,8380,150,0,nd,nd,Algeria,Relilai,Epipalaeolithic,Capsien typique,Phase III,shell midden,0,0,14C,7370,170,Gehlen 2010,
82,Gif-1898,7950,150,0,nd,nd,Algeria,Relilai,Epipalaeolithic,Capsien typique,Phase IV,shell midden,0,0,14C,6870,190,Gehlen 2010,
83,Gif-1901,8100,150,0,nd,nd,Algeria,Relilai,Epipalaeolithic,Capsien typique,Phase IV,shell midden,0,0,14C,7050,240,Gehlen 2010,
84,Gif-1902,8350,150,0,nd,nd,Algeria,Relilai,Epipalaeolithic,Capsien typique,Phase III,shell midden,0,0,14C,7350,170,Gehlen 2010,
85,Gif-2120,8180,150,0,nd,nd,Algeria,Relilai,Epipalaeolithic,Capsien typique,Phase IV,shell midden,0,0,14C,7160,220,Gehlen 2010,
86,Gif-2121,8840,160,0,nd,nd,Algeria,Relilai,Epipalaeolithic,Capsien typique,Phase I ,shell midden,0,0,14C,7960,220,Gehlen 2010,
87,Ly-2839,6670,120,0,charcoal,nd,Andorra,Margineda,Neolithic,Cardial,nd,Level 3b base-F3 base,42.46,1.49,14C,5600,90,van Willigen 2006,
88,Ly-2840,8390,150,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 4   ,42.46,1.49,14C,7380,170,van Willigen 2006,
89,Ly-2841,8530,420,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 4 base,42.46,1.49,14C,7610,540,van Willigen 2006,
90,Ly-2842,9250,160,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 6 sup,42.46,1.49,14C,8520,200,van Willigen 2006,
91,Ly-2843,10640,260,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 6L base,42.46,1.49,14C,10460,330,van Willigen 2006,
92,Ly-3288,6640,160,0,charcoal,nd,Andorra,Margineda,Neolithic,Cardial,Margineda,Level 3a-F1,42.46,1.49,14C,5570,140,"van Willigen 2006, Hidalgo 2010",
93,Ly-3289,6850,150,0,charcoal,nd,Andorra,Margineda,Neolithic,Cardial,Margineda,Level 3b-F3,42.46,1.49,14C,5770,130,van Willigen 2006,
94,Ly-3290,6820,170,0,charcoal,nd,Andorra,Margineda,Neolithic,nd,nd,Level 3-4,42.46,1.49,14C,5740,150,van Willigen 2006,
95,Ly-3291,8210,180,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 4 sup,42.46,1.49,14C,7180,250,van Willigen 2006,
96,Ly-3292,8210,370,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 6 L,42.46,1.49,14C,7180,440,van Willigen 2006,
97,Ly-3364,10630,190,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 6 L,42.46,1.49,14C,10490,240,van Willigen 2006,
98,Ly-3892,8850,120,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 4/5,42.46,1.49,14C,7970,200,van Willigen 2006,
99,Ly-3893,9790,180,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 5,42.46,1.49,14C,9270,330,van Willigen 2006,
100,Ly-3894,9900,110,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 6 L,42.46,1.49,14C,9470,180,van Willigen 2006,
101,Ly-4401,8970,120,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 4 base,42.46,1.49,14C,8090,180,van Willigen 2006,
102,Ly-4402,8960,120,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Level 5/6,42.46,1.49,14C,8070,180,van Willigen 2006,
103,nd,10820,260,0,charcoal,nd,Andorra,Margineda,Epipalaeolithic,nd,nd,Levels 8-9,42.46,1.49,14C,10720,300,van Willigen 2006,
104,OxA-3999,8580,90,-24.5,charcoal,nd,Andorra,Sornas,Epipalaeolithic,nd,nd,"Sample 1, Base Columna IV",47.5,-0.15,14C,7640,90,"Oxford Datelist 19, 1995",
105,OxA-4000,8420,80,-24.5,charcoal,nd,Andorra,Sornas,Epipalaeolithic,nd,nd,"Sample 2, mostra alpha",47.5,-0.15,14C,7460,90,"Oxford Datelist 19, 1995",
106,OxA-4001,8370,90,-24.6,charcoal,nd,Andorra,Sornas,Epipalaeolithic,nd,nd,"Sample 3, mostra gama",47.5,-0.15,14C,7400,110,"Oxford Datelist 19, 1996",
107,OxA-4002,8160,80,-25.1,charcoal,nd,Andorra,Sornas,Epipalaeolithic,nd,nd,"Sample 4, mostra beta1",47.5,-0.15,14C,7190,110,"Oxford Datelist 19, 1997",
108,AA-68559,6868,40,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench A, UF 7",40.1015,44.2941,14C,5750,50,Badalyan 2010,
109,AA-68560,6930,44,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon V,"Trench A, UF 10/F5",40.1015,44.2941,14C,5810,50,Badalyan 2010,
110,AA-68561,7035,69,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon V,"Trench A, UF 11",40.1015,44.2941,14C,5910,70,Badalyan 2010,
111,Ly-13664,6350,70,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon III,"Trench A, UF 6",40.1015,44.2941,14C,5340,80,Badalyan 2010,
112,Ly-13665,6920,55,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon V,"Trench A, UF 12",40.1015,44.2941,14C,5810,60,Badalyan 2010,
113,Poz-22745,6910,40,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon III,"Trench 1, UF 6",40.1015,44.2941,14C,5790,50,Badalyan 2010,
114,Poz-22746,6420,40,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon III,"Trench 3, UF 6a",40.1015,44.2941,14C,5400,50,Badalyan 2010,
115,Poz-22747,6790,40,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon III,"Trench 4, UF 6",40.1015,44.2941,14C,5680,30,Badalyan 2010,
116,UGAMS-2292,6900,50,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon V,"Trench A, UF 10",40.1015,44.2941,14C,5790,60,Badalyan 2010,
117,UGAMS-2293,6550,50,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench A, UF 8",40.1015,44.2941,14C,5520,40,Badalyan 2010,
118,UGAMS-2820,6690,50,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon III,"Trench 6, UF 6b",40.1015,44.2941,14C,5600,50,Badalyan 2010,
119,UGAMS-2821,6740,50,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench 3, UF 7a F.7",40.1015,44.2941,14C,5650,40,Badalyan 2010,
120,UGAMS-4079,6640,30,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench 3, UF 7b",40.1015,44.2941,14C,5580,30,Badalyan 2010,
121,UGAMS-4080,6590,30,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench 3, UF 7b",40.1015,44.2941,14C,5540,40,Badalyan 2010,
122,UGAMS-4081,6720,30,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench 5, UF 7a",40.1015,44.2941,14C,5630,30,Badalyan 2010,
123,UGAMS-4082,6560,30,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench 6, UF 7a",40.1015,44.2941,14C,5510,30,Badalyan 2010,
124,UGAMS-5802,6940,30,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench 1, UF 8",40.1015,44.2941,14C,5820,50,Badalyan 2010,
125,UGAMS-5803,6800,30,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench 4, UF 7a, str.8",40.1015,44.2941,14C,5690,30,Badalyan 2010,
126,UGAMS-5804,6600,25,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench 4, UF 8b",40.1015,44.2941,14C,5540,40,Badalyan 2010,
127,UGAMS-5805,6970,25,0,nd,nd,Armenia,Aknashen-Khatunarkh,Neolithic,nd,Horizon IV,"Trench 5, UF 8a",40.1015,44.2941,14C,5850,40,Badalyan 2010,
128,OxA-18197,5077,29,0,see,Prunus,Armenia,Areni-1,Chalcolithic,nd,first upper chalcolithic Level,Unit 1002,39.7315,45.2037,14C,3870,60,Areshian 2012,
129,OxA-18198,5098,29,0,grass,nd,Armenia,Areni-1,Chalcolithic,nd,second chalcolithic Level,"Unit 2002, wrapping a jar",39.7315,45.2037,14C,3880,60,Areshian 2012,
130,OxA-18599,5285,28,0,tooth,human,Armenia,Areni-1,Chalcolithic,nd,second chalcolithic Level,"Unit 1004, Square P23, Burial 3",39.7315,45.2037,14C,4130,70,Areshian 2012,
131,OxA-18600,4460,29,0,charcoal,Acer sp.,Armenia,Areni-1,Chalcolithic,nd,nd,"burnt layer underneath structure 2, Square L29, spit 2",39.7315,45.2037,14C,3180,110,Areshian 2012,
132,OxA-18601,4601,28,0,charcoal,Tamarix sp.,Armenia,Areni-1,Chalcolithic,nd,first upper chalcolithic Level,"Squares N30/O30, spit 5/6, locus 2",39.7315,45.2037,14C,3410,70,Areshian 2012,
133,OxA-19331,5366,31,0,tooth,human,Armenia,Areni-1,Chalcolithic,nd,second chalcolithic Level,"Unit 1003, Square R22, Burial 2",39.7315,45.2037,14C,4210,90,Areshian 2012,
134,OxA-19332,5323,30,0,tooth,human,Armenia,Areni-1,Chalcolithic,nd,second chalcolithic Level,"Unit 1003, Square R23, Burial 1",39.7315,45.2037,14C,4150,70,Areshian 2012,
135,OxA-20581,4725,32,0,leather,shoe,Armenia,Areni-1,Chalcolithic,nd,first upper chalcolithic Level,"Square S32, pit 3, locus 7, spit 7",39.7315,45.2037,14C,3510,100,Areshian 2012,
136,OxA-20582,4708,32,0,leather,shoe,Armenia,Areni-1,Chalcolithic,nd,first upper chalcolithic Level,"Square S32, pit 3, locus 7, spit 7",39.7315,45.2037,14C,3500,100,Areshian 2012,
137,OxA-20583,4810,31,0,grass,nd,Armenia,Areni-1,Chalcolithic,nd,first upper chalcolithic Level,"Square S32, pit 3, locus 7, spit 7, from shoe",39.7315,45.2037,14C,3590,50,Areshian 2012,
138,UCIAMS-40181,7440,25,0,charcoal,nd,Armenia,Areni-1,Chalcolithic,nd,from the bottom of the deep test pit inside T1,Unit 1006,39.7315,45.2037,14C,6310,50,Areshian 2012,
139,UCIAMS-40182,5230,25,0,charcoal,nd,Armenia,Areni-1,Chalcolithic,nd,second chalcolithic Level,from bottom of the second chalcolithic Level,39.7315,45.2037,14C,4020,30,Areshian 2012,
140,UCIAMS-40183,5090,25,0,charcoal,nd,Armenia,Areni-1,Chalcolithic,nd,second chalcolithic Level,"Unit 1003, Square R23, Burial 1",39.7315,45.2037,14C,3880,60,Areshian 2012,
141,UCIAMS-48413,5240,20,0,grape,vine,Armenia,Areni-1,Chalcolithic,nd,firstor second chalcolithic Level,Unit 1002,39.7315,45.2037,14C,4030,30,Areshian 2012,
142,UCIAMS-65186?,5095,20,0,organic residue,nd,Armenia,Areni-1,Chalcolithic,nd,first upper chalcolithic Level,"Unit 1001, Square O17",39.7315,45.2037,14C,3880,60,Areshian 2012,
143,UCIAMS-65186??,4700,20,0,leather,shoe,Armenia,Areni-1,Chalcolithic,nd,first upper chalcolithic Level,"Square S32, pit 3, locus 7, spit 7",39.7315,45.2037,14C,3490,90,Areshian 2012,
144,UCIAMS-65187,5230,20,0,brain tissue,human,Armenia,Areni-1,Chalcolithic,nd,second chalcolithic Level,"Unit 1003, Square R23, Burial 1",39.7315,45.2037,14C,4020,30,Areshian 2012,
145,VRI-731,4680,100,0,wood,nd,Austria,Abtsdorf/Atersee,Neolithic,Mondseekultur,nd,Pfahlbau,47.9089,13.5119,14C,3460,130,Stadler 1995,
146,VRI-735,3180,90,0,wood,nd,Austria,Abtsdorf/Atersee,nd,Bronzezeit,nd,Station I,47.9089,13.5119,14C,1440,120,Stadler 1995,
147,VERA-228,5312,31,0,bone,human,Austria,Antonshöhe,Neolithic,Lengyel,nd,"Shaft 4 , Burial 2",48.149,16.2445,14C,4140,70,Stadler 2005/2006,
148,VERA-229,5650,32,0,bone,human,Austria,Antonshöhe,Neolithic,Lengyel,nd,Burial 3,48.149,16.2445,14C,4480,40,Stadler 2005/2006,
149,VERA-230,5662,29,0,bone,human,Austria,Antonshöhe,Neolithic,Mährish-bemalt,MOG II a,"Shaft 1, Burial 5",48.149,16.2445,14C,4490,30,Stadler 2006,Stadler 2005/2006
150,VRI-730,4720,100,0,wood,nd,Austria,Attersee,Neolithic,Mondseekultur,nd,Pfahlbau,47.9162,13.5339,14C,3500,110,Stadler 1995,
151,VRI-775,4610,10,0,wood,nd,Austria,Attersee,Neolithic,Mondseekultur,nd,Pfahl,47.9162,13.5339,14C,3410,60,Stadler 1995,
152,VERA-838,4645,35,-18.8,bone,nd,Austria,Baierdorf,Chalcolithic,Baden,Boleráz,"pit, 2",47.2844,15.7097,14C,3440,60,"Stadler, P. et. al. (2000). Status of Austrian Science Fund Project P12253: Absolute Chronology for Early Civilization in Austria and Central Europe Using 14C Dating with Accelerator Mass Spectometry Wien.",
153,VERA-233A,5432,34,0,bone,human,Austria,Bernhardsthal ,Neolithic,Mährish-bemalt,MOG II b,Opfergrube,48.6925,16.8692,14C,4290,40,Stadler 2006,Stadler 2005/2006
